address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"1507 Woodland Dr, Loveland, OH 45140",3.0,2.0,1013.0,0.2899908172635445,12.524526376648708,2,8,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 3,"1,956","1,956",1,,OAK KNOLL ESTATES NO 2 LOT 90,Frame Garage,460,Frame,1,"12,632",90,,GOSHEN TWP,0.29,SINGLE FAMILY,2022,,Full,Gas,6,Bi-Level,943,,,,,Available,943,,Central,Public,Public,Finished,,,,,,
"6880 Clubside Dr, Loveland, OH 45140",4.0,3.5,3633.0,0.4909779614325069,13.422467969854667,3,13,Central,1,Prefab,Average,,,Frame/Masonry,Residential,FAIRWAYS AT OBANNON CREEK SEC 4,"3,633","4,201",2,,FAIRWAYS AT OBANNON CREEK SECTION 4 LOT 95,Masonry/Brick Garage,758,Masonry/Brick,1,"21,388",95,,GOSHEN TWP,0.491,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,384",,,,,,568,1,Central,,,,,,,,,
"6165 Century Farm Dr, Loveland, OH 45140",4.0,2.5,2728.0,0.4799816345270891,13.1538620444637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"435 Main St, Loveland, OH 45140",3.0,2.0,1792.0,0.15199724517906335,12.765688433465597,1,,,,,Good,Concrete Block,Frame,Frame Siding,,J M BROWN SUB,"1,792","2,554",2,2,435 MAIN AVE 45 X 146.40 PT LOT 74 J M BROWN SUB,Detached Frame Garage,308,Detached Frame,1,"6,621",74,,LOVELAND CITY,0.152,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,762,,146.4,45,RESID-SINGLE FAMILY,Connected,762,1,Central,,,,,,,,,
"130 Shingleoak Dr, Loveland, OH 45140",4.0,2.5,2653.0,0.6769972451790633,13.017002861746503,3,,,1,,Fair,Concrete Block,Brick,Frame/Masonry,,WOODFORD SUB,"2,653","4,660",2,2,SHINGLEOAK DR 90.45 X 293.97 FT IRR LOT6 WOODFORD SUB BL A,Attached Brick Garage,506,Attached Brick,1,"29,490",6,,LOVELAND CITY,0.677,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,501",A,293.97,90.45,RESID-SINGLE FAMILY,Connected,"1,501",1,Central,,,,,2,,,,
"721 Harper Ln, Loveland, OH 45140",4.0,5.0,4758.0,0.2759999999999999,13.484224848030362,2,10,Central,1,Prefab,Average,,,Brick,Residential,JACKSON WOODS PH 1,"4,741","5,213",2,,JACKSON WOODS PHASE 1 LOT 35,Masonry/Brick Garage,,Masonry/Brick,1,"12,040",35,,MIAMI TWP,0.2764,SINGLE FAMILY,2022,,Full,,8,Colonial,"2,150",,,,,,472,1,Central,Public,Public,,,,,,,
"414 Park Ave, Loveland, OH 45140",4.0,3.0,2740.0,0.16999540863177226,13.14900530835075,3,,,1,,Good,Concrete Block,Brick,Brick,,BONNYDALE SUB,"2,740","3,940",2,1,414 LONGVIEW AVE 50 X 150LOT 31 BONNYDALE SUB AMMENDED,,,,1,"7,231",31,,LOVELAND CITY,0.166,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,596",,150,50,RESID-SINGLE FAMILY,Connected,"1,200",,Central,,,,,,,,,
"3050 Columbia Trl, Loveland, OH 45140",4.0,2.5,2350.0,0.3542470156106519,12.641096555879882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6715 State Route 48, Loveland, OH 45140",3.0,1.5,1578.0,0.5389807162534436,12.706847933442663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"621 River Rd, Loveland, OH 45140",3.0,3.0,2058.0,2.029981634527089,13.049792684569493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"732 River Bend Ct, Loveland, OH 45140",4.0,2.5,3492.0,1.88099173553719,13.329377546788654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State Route 48, Loveland, OH 45140",3.0,1.5,1578.0,0.5259871441689623,12.706847933442663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6432 Birch Creek Dr, Loveland, OH 45140",5.0,5.0,5000.0,0.5399908172635446,13.789323654477155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11992 Riveroaks Dr, Loveland, OH 45140",4.0,4.0,2758.0,0.5399908172635446,13.217673557208654,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,RIVER OAKS SUB,"2,758","4,843",2,2,RIVEROAKS DR 102.11 X 190.48 IRR LOT 40 RIVER OAKS SUB,Attached Brick Garage,441,Attached Brick,1,"23,522",40,,SYMMES TOWNSHIP,0.54,SINGLE FAMILY,2022,,Partial,Electric,9,Conventional,"1,654",,190.48,102.11,RESID-SINGLE FAMILY,Connected,"1,644",2,Central,,,,,2,B,,,
"9571 Lake View Dr, Loveland, OH 45140",3.0,2.0,1831.0,0.20938934802571166,12.942039823273047,2,8,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLAGE/HERITGGR,"1,831","2,231",1,1,VILLAGE/HERITG.GR. #146,Attached Garage,400,Attached,1,"9,121",146,LOVELAND CITY,DEERFIELD TWP,0.2094,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,D,,,,,,1,,,,Finished,,,,,,
"6575 Estate Ln, Loveland, OH 45140",5.0,5.0,3048.0,0.7039944903581267,13.670484785914017,3,13,Central,,,Average,,,Brick,Residential,ESTATES MIAMI TRLS PH 01,"4,548","4,944",2,,ESTATES AT MIAMI TRAILS 1 LOT 11,Masonry/Brick Garage,660,Masonry/Brick,1,"30,666",11,,MIAMI TWP,0.704,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,258",,,,,,"1,896",1,Central,Public,Public,Finished,,,,,,
"1337 Harbor Cv, Loveland, OH 45140",4.0,4.0,2676.0,0.331,13.151922179645874,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,PAXTON LAKE SEC 06,"2,676","3,124",2,,PAXTON LAKE SECTION 6 LOT 136,Masonry/Brick Garage,630,Masonry/Brick,1,"14,418",136,,MIAMI TWP,0.331,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,189",,,,,,154,1,Central,Public,Public,,,,,,,
"1848 Poplar Dr, Loveland, OH 45140",4.0,2.5,1924.0,0.24097796143250688,12.915339207970002,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,LAKE COMMUNIT Y SUB,"2,600","3,241",2,2,CEDARBROOK DR 70 X 150 LOT 89 GLEN LAKE COMMUNITY SUB BLK D,Attached Frame Garage,462,Attached Frame,1,"10,498",89,,LOVELAND CITY,0.241,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,069",D,150,70,RESID-SINGLE FAMILY,Connected,855,1,Central,,,,,2,,,,
"6335 Gallaher Ct, Loveland, OH 45140",4.0,4.0,2962.0,0.3049816345270891,13.038981768465277,3,13,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,BELLE MEADE SEC 6,"2,574","2,962",2,,BELLE MEADE 6 LOT 219,Frame Garage,420,Frame,1,"13,286",219,,MIAMI TWP,0.305,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,918,,,,,Available,388,1,Central,Public,Public,,,,,,,
"1544 Mashie Woods Dr, Loveland, OH 45140",5.0,5.0,4327.0,0.459,13.49378899328897,3,13,Central,1,Prefab,Average,,,Brick,Residential,EAGLES POINTE AT THE OASIS SEC 1,"4,327","4,905",2,,EAGLES POINTE AT THE OASIS SECTION 1 LOT 18,Masonry/Brick Garage,644,Masonry/Brick,1,"19,994",18,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,522",,,,,,578,1,Central,Public,Public,,,,,,,
"605 Silverleaf Ln, Loveland, OH 45140",4.0,5.0,3722.0,1.1,13.883169206438088,4,16,Central,1,Prefab,Average,,,Brick,Residential,WILLOWS BEND SUB,"5,172","5,762",2,,WILLOWS BEND SECTION 3 LOT 73 SEE 172520I663T FOR TIF,Masonry/Brick Garage,682,Masonry/Brick,1,"47,916",73,,MIAMI TWP,1.1,SINGLE FAMILY,2022,,Full,Wood,8,Colonial,"1,303",,,,,,"2,040",1,Central,,,Finished,,,,,,
"6810 Clarawill Dr N, Loveland, OH 45140",3.0,1.5,1176.0,0.3240817263544536,12.170445467887022,1,7,Central,,,Fair,,,Aluminum/Vinyl,Residential,KEISERS,"1,176","1,176",1,,KEISERS LOT 31,Carport,264,Carport,1,"14,117",31,,GOSHEN TWP,0.32,SINGLE FAMILY,2022,,Crawl-Space,Wood,5,Ranch,"1,176",,,,,Available,,1,Central,,,,,,,,,
"1163 Clover Field Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.2359963269054178,12.999065161059836,2,10,Central,,,Average,,,,Residential,WILLOW FARMS,"2,444","2,444",2,,WILLOW BROOK FARMS SECTION 2 LOT 112,Frame Garage,640,Frame,1,"10,280",112,,MIAMI TWP,0.236,SINGLE FAMILY,2022,,Full,Wood,8,,"1,112",,,,,,,1,Central,,,,,,,,,
"6628 Saddlebrook Ct, Loveland, OH 45140",4.0,4.5,3212.0,1.2399908172635443,13.534473028231162,3,15,Central,1,Prefab,Average,,,Frame/Masonry,Residential,BLACK HORSE RUN,"4,112","5,008",2,,BLACK HORSE RUN A LOT 11,Masonry/Brick Garage,784,Masonry/Brick,1,"53,927",11,,MIAMI TWP,1.238,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,000",A,,,,Available,"1,796",2,Central,Public,Public,Finished,,,,,,
"6769 Little River Ln, Loveland, OH 45140",3.0,4.0,2951.0,0.5899908172635445,13.132313708257497,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,RIVERSIDE HILLS,"2,951","3,869",2,,RIVERSIDE HILLS LOT 68,Masonry/Brick Garage,441,Masonry/Brick,1,"25,918",68,,MIAMI TWP,0.595,SINGLE FAMILY,2022,,Full,Gas,7,Colonial,870,,,,,Available,918,1,Central,Public,Public,,,,,,,
"6242 N Shadow Hill Way, Loveland, OH 45140",4.0,2.5,2658.0,0.6079889807162534,12.89921982609012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"610 Carrington Pl APT 104, Loveland, OH 45140",3.0,2.5,2004.0,0.4589990817263544,11.99535161421452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6373 Derbyshire Ln, Loveland, OH 45140",4.0,3.0,2206.0,0.5420110192837465,12.89921982609012,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,PAXTON WOODS SEC 5,"2,206","2,360",2,,PAXTON WOODS V LOT 133,Masonry/Brick Garage,484,Masonry/Brick,1,"23,610",133,,MIAMI TWP,0.542,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,026",,,,,Available,154,1,Central,Public,Public,,,,,,,
"878 Augusta Blvd, Loveland, OH 45140",4.0,3.0,2471.0,0.305,12.89921982609012,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,RESERVE/OASIS,"2,471","3,059",2,,THE RESERVE AT THE OASIS LOT 37,Masonry/Brick Garage,609,Masonry/Brick,1,"13,286",37,,MIAMI TWP,0.305,SINGLE FAMILY,2022,,Full,,8,Colonial,898,,,,,,588,1,Central,Public,Public,,,,,,,
"426 Walker Ave, Loveland, OH 45140",4.0,2.0,1716.0,0.16999540863177226,12.230765258120545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"436 Walker St, Loveland, OH 45140",3.0,1.5,2091.0,0.17199265381083562,12.230765258120545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1226 Silvercreek Cir, Loveland, OH 45140",4.0,4.5,3880.0,0.5899908172635445,13.353475098367715,4,16,Central,1,Wood Stove,Average,,,Brick,Residential,FAIRWAYS AT OBANNON CREEK SEC 1 BL B,"3,880","4,342",2,,FAIRWAYS AT O'BANNON CREEK SECTION I BLOCK B LOT 114,Masonry/Brick Garage,660,Masonry/Brick,1,"25,657",114,,GOSHEN TWP,0.589,SINGLE FAMILY,2022,,Full,Gas,10,Colonial,"1,012",B,,,,,"1,271",1,Central,,,Finished,,,,,,
"1015 W Main St, Loveland, OH 45140",3.0,1.0,1105.0,0.4899908172635445,12.254862809699606,1,,,,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS 1ST SUB,"1,105","1,585",1,1,MAIN ST 70.65 X 187.67 IRR LOT 55 LOVELAND HTS 1ST SUB BLK A,Attached Frame Garage,480,Attached Frame,1,"13,634",55,,LOVELAND CITY,0.313,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,"1,105",A,187.67,70.65,RESID-SINGLE FAMILY,Connected,,,,,,,,2,,,,
"1854 Lindenhall Dr, Loveland, OH 45140",4.0,2.5,1928.0,0.3169880624426079,13.24167413438888,2,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,C HUBER HERNERT,"1,928","3,262",2,2,LINDENHALL DR 68.24 X 190.20 IRR-LOT 261 HERBERT C HUBER PLAT 45 E,Attached Brick Garage,420,Attached Brick,1,"13,809",261,,LOVELAND CITY,0.317,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,914,,190.2,68.24,RESID-SINGLE FAMILY,Connected,914,1,Central,,,,,2,,,,
"11950 Fallcreek Ln, Loveland, OH 45140",3.0,3.5,2329.0,0.2679981634527089,13.106640416939092,3,,,1,,Average,,Brick/Frame,Frame/Masonry,,CREEKSIDE SUB,"3,029","4,459",2,2,FALLCREEK LN LOT 73 .268 AC CREEKSIDE SUB PHASE 2 BLK A,Frame Garage,441,Frame,1,"11,674",73,,SYMMES TOWNSHIP,0.268,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"1,689",A,,,RESID-SINGLE FAMILY,Connected,"1,689",1,Central,,,,,2,B,,,
"1411 Bellwood Dr, Loveland, OH 45140",4.0,2.0,960.0,0.5099862258953168,12.230765258120545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1227 Obannon Creek Ln, Loveland, OH 45140",5.0,3.0,3337.0,0.628,13.253391639810733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"704 Paxton Ave, Loveland, OH 45140",3.0,2.0,2004.0,0.3615702479338843,12.542544882151386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919 W Loveland Ave, Loveland, OH 45140",4.0,5.0,4871.0,0.9699954086317722,13.726679344257658,3,,,2,2 Openings,Average,,,Brick,,PHEASANT HILLS ON LAKE,"4,871","7,805",2,,WEST LOVELND AV 166.03X251.42 IR LOT 71 PHEASANT HILLS (ON THE LAKE) PHASE 1 PT 2,Attached Brick Garage,807,Attached Brick,1,"42,558",71,,LOVELAND CITY,0.977,SINGLE FAMILY,2022,,Full,Electric,9,Conventional,"3,001",,251.42,3,RESID-SINGLE FAMILY,Connected,"2,927",1,Central,,,,,,,,,
"704 Paxton Ave, Loveland, OH 45140",2.0,1.0,1210.0,0.10298438934802571,12.542544882151386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"704 Paxton Ave, Loveland, OH 45140",2.0,1.0,1210.0,0.10298438934802571,12.542544882151386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9979 Morganstrace Dr, Loveland, OH 45140",4.0,4.0,3500.0,0.5899908172635445,13.062613372998555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4120 Crestview Dr, Loveland, OH 45140",2.0,1.0,1122.0,9.0,12.154779351142624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6688 Raes Creek Ct, Loveland, OH 45140",4.0,2.5,2841.0,0.2699954086317723,13.093963902882631,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,RESERVE AT THE OASIS THE,"2,841","2,841",2,,THE RESERVE AT THE OASIS LOT 31,Masonry/Brick Garage,420,Masonry/Brick,1,"11,761",31,,MIAMI TWP,0.27,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,366",,,,,,,1,Central,Public,Public,,,,,,,
"506 Wakefield Ave, Loveland, OH 45140",3.0,1.0,1344.0,0.16999540863177226,12.425208175446844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"506 Wakefield Ave, Loveland, OH 45140",2.0,1.0,1344.0,0.17199265381083562,12.425208175446844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6170 Woodville Dr, Loveland, OH 45140",4.0,2.5,1680.0,0.2799816345270891,12.676076274775909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1142 Diekmeyer Ln, Loveland, OH 45140",3.0,2.5,2004.0,0.45,13.206934278854598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9370 Arnold Ln, Symmes Township, OH 45140",3.0,1.0,1252.0,0.9,12.533576212168626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1287 Sandwood Dr, Loveland, OH 45140",3.0,2.0,1279.0,0.4599862258953168,12.691580461311874,2,8,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"1,279","1,279",1,,O BANNON CREEK A LOT 57,Frame Garage,441,Frame,1,"20,038",57,,GOSHEN TWP,0.46,SINGLE FAMILY,2022,,Full,Gas,6,Ranch,"1,279",,,,,Available,,,Central,Public,Public,,,,,,,
"216 Seminole Dr, Loveland, OH 45140",2.0,1.0,925.0,0.1849862258953168,11.940152064859905,1,,,,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS SUB,925,925,1,1,SEMINOLE DR 60 X 134.35 LOT 170 LOVELAND HTS SUB BLK B,,,,1,"8,059",170,,LOVELAND CITY,0.185,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,925,B,134.35,60,RESID-SINGLE FAMILY,Connected,,,,,,,,,,,,
"6763 Oakland Rd, Loveland, OH 45140",3.0,2.0,1142.0,0.998,12.083905011555967,1,5,Central,,,Average,,,Brick,Residential,WILLIAM BARRETTS MILITARY SUR,"1,142","1,142",1,,PENDING DELQ CO UTIL,Masonry/Brick Garage,672,Masonry/Brick,1,"43,473",,,GOSHEN TWP,0.998,SINGLE FAMILY,2022,,Crawl-Space,Solar,5,Cape Cod,816,,,,,Available,,,Central,Septic,Public,,,,,,,
"6422 Smith Rd, Loveland, OH 45140",2.0,1.0,1092.0,0.6309917355371901,12.043553716032399,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,CEDAR LAKE SEC 1,"1,092","1,092",1,,CEDAR LAKE 1 LOT 4,Frame Garage,336,Frame,1,"27,486",4,,GOSHEN TWP,0.631,SINGLE FAMILY,2022,,Crawl-Space,Wood,6,Ranch,"1,092",,,,,Available,,,Central,,,,,,,,,
"6080 Marsh Cir, Loveland, OH 45140",3.0,2.0,1315.0,0.1099862258953168,12.213048259266598,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 2,"1,315","1,315",1,,WOODLAND STREAMS SECTION 2 LOT 191,Frame Garage,400,Frame,1,"4,800",191,,GOSHEN TWP,0.1102,SINGLE FAMILY,2022,,,,6,Ranch,"1,315",,,,,,,,Central,Public,Public,,,,,,,
"112 Colonial Dr, Loveland, OH 45140",4.0,4.0,4300.0,0.3689853076216712,13.36138027787483,2,10,Central,1,Prefab,Average,,,Frame/Masonry,,WHITE PILLARS SEC TWO,"3,022","3,112",2,,WHITE PILLARS SECTION TWO BLOCK A LOT 65,Masonry/Brick Garage,440,Masonry/Brick,1,"16,108",65,,LOVELAND CITY,0.3698,SINGLE FAMILY,2022,,Full,,8,Modern,"1,246",A,,,,,90,1,Central,,,,,,,,,
"213 Pincay Ct, Loveland, OH 45140",4.0,2.5,2188.0,0.15,12.721885810807203,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,CLAIBORNE SUB,"2,188","3,768",2,2,PINCAY COURT 53.02 X 103.07 FT IRR LOT83 CLAIBORNE SUB PHASE 2 BL A,Attached Frame Garage,400,Attached Frame,1,"6,578",83,,LOVELAND CITY,0.151,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,180",A,103.07,53.02,RESID-SINGLE FAMILY,Connected,"1,180",1,Central,,,,,2,,,,
"10091 Dallasburg Rd, Loveland, OH 45140",4.0,5.0,4465.0,5.009986225895317,13.710150042306449,3,15,Forced Air,2,,Good,Concrete,Frame/Masonry,,Single Family,HAMILTON,"3,715","4,221",2,2,MS-3790 5.0060 AC.,Attached Garage,506,Attached,1,"218,061",,,HAMILTON TWP,5.006,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,,2,,,,Finished,,,,,,
"1650 Woodville Pike, Loveland, OH 45140",3.0,2.0,2570.0,5.884986225895317,12.765688433465597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6482 Smith Rd, Loveland, OH 45140",3.0,2.0,2464.0,0.6429981634527089,12.206072645530174,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,CEDAR LAKE 2,"2,464","2,464",1,,CEDAR LAKE 2 LOT 7,Detached Frame Garage,"2,400",Detached Frame,1,"28,009",7,,GOSHEN TWP,0.643,SINGLE FAMILY,2022,,Crawl-Space,Wood,8,Ranch,952,,,,,Available,,,,,,,,,,,,
"6457 Windrift Ct, Loveland, OH 45140",4.0,2.5,2931.0,0.7389807162534435,13.122363377404328,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,MILLBROOK FARM SEC 2,"2,931","3,644",2,,MILLBROOK FARM II LOT 61,Frame Garage,722,Frame,1,"32,191",61,,MIAMI TWP,0.739,SINGLE FAMILY,2022,,Full,,8,Colonial,926,,,,,,713,1,Central,Public,Public,,,,,,,
"332 Huntington Dr, Loveland, OH 45140",4.0,2.5,3548.0,0.4709825528007346,13.296316684527767,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,HUNTINGTON,"3,548","3,644",2,,LOVELAND CITY LAND HUNTINGTON B LOT 25,Masonry/Brick Garage,616,Masonry/Brick,1,"20,517",25,,LOVELAND CITY,0.471,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,463",,,,,,96,1,Central,Public,Public,,,,,,,
"9274 Cactus Ln, Loveland, OH 45140",4.0,5.0,3005.0,0.6099862258953168,13.369223455335854,2,,,1,,Average,,,Frame/Masonry,,S MEADOW SUB,"3,005","5,435",2,,CACTUS LN LOT 9 .6127 AC WATSON'S MEADOW SUB,Attached Brick Garage,460,Attached Brick,1,"26,659",9,,SYMMES TOWNSHIP,0.612,SINGLE FAMILY,2022,,Partial,Gas,9,Conventional,"2,227",,,,RESID-SINGLE FAMILY,Connected,"1,970",1,Central,,,,,,A,,,
"9154 Pinewood Dr, Loveland, OH 45140",4.0,3.0,3207.0,0.4589990817263544,13.190022025878143,2,,,2,2 Openings,Average,Concrete Block,Brick,Frame/Masonry,,RETVIEW ESTATE,"3,207","5,444",2,2,PINEWOOD DR 100 X 200 FT LOT 30 RETVIEW ESTATES,Attached Brick Garage,525,Attached Brick,1,"19,994",30,,SYMMES TOWNSHIP,0.459,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,712",,200,100,RESID-SINGLE FAMILY,Connected,"1,712",1,Central,,,,,2,A,Fiberglass,Fiberglass,
"963 Palomar Dr, Loveland, OH 45140",4.0,2.5,2899.0,0.5289944903581267,13.017002861746503,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,MITCHELL FARM SEC 02,"3,399","4,171",2,,MITCHELL FARM SECTION II LOT 66 AKA PALOMAR DR,Frame Garage,441,Frame,1,"23,043",66,,MIAMI TWP,0.529,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,074",,,,,,"1,020",1,Central,Public,Public,Finished,,,,,,
"9377 White Rose Ct, Loveland, OH 45140",4.0,6.0,4216.0,1.0159779614325068,13.240146413060712,5,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,WHITE ROSE ESTATES SUB,"4,216","5,558",2,2,KEMPER RD 1.016 AC LOT 4 WHITE ROSE ESTATES SUB,Attached Brick Garage,624,Attached Brick,1,"44,257",4,,SYMMES TOWNSHIP,1.016,SINGLE FAMILY,2022,,Partial,Gas,8,Conventional,"1,806",,,,RESID-SINGLE FAMILY,Connected,"1,518",1,Central,,,,,2,A,,,
"447 Main St, Loveland, OH 45140",2.0,1.0,1170.0,0.17199265381083562,12.343658308482738,2,,,,,Very Good,Concrete Block,Frame,Frame Siding,,J M BROWN SUB,"1,170","1,805",1.5,1  1/2,447 MAIN AVE 50 X 146.40 LOT 71 J M BROWN SUB,Detached Frame Garage,300,Detached Frame,1,"7,492",71,,LOVELAND CITY,0.172,SINGLE FAMILY,2022,,Full,Gas,5,Conventional,635,,146.4,50,RESID-SINGLE FAMILY,Connected,635,,Central,,,,,,,,,
"9773 Tulip Tree Ct, Loveland, OH 45140",4.0,4.0,3950.0,0.3761937557392102,13.049792684569493,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,ASHWOOD 2,"3,570","4,053",2,2,ASHWOOD 2 LOT# 29,Attached Garage,483,Attached,1,"16,387",29,LOVELAND CITY,DEERFIELD TWP,0.3762,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,450,1,,,,Finished,,,,,,
